|                                                                                               TITILE |  YEAR |                                           DIRECTOR |                                                                                                STARS |  RATE |                                            REFLINK |
|                                                                             Światła wielkiego miasta |  1931 |                                    Charles Chaplin |                                             ('Charles Chaplin', 'Virginia Cherrill', 'Florence Lee') |   8.5 |              https://www.imdb.com/title/tt0021749/ |
|                                                                                           Nietykalni |  2011 |                                    Olivier Nakache |                                                         ('François Cluzet', 'Omar Sy', 'Anne Le Ny') |   8.5 |              https://www.imdb.com/title/tt1675434/ |
|                                                                                          Infiltracja |  2006 |                                    Martin Scorsese |                                                ('Leonardo DiCaprio', 'Matt Damon', 'Jack Nicholson') |   8.5 |              https://www.imdb.com/title/tt0407887/ |
|                                                                                             Whiplash |  2014 |                                    Damien Chazelle |                                                  ('Miles Teller', 'J.K. Simmons', 'Melissa Benoist') |   8.5 |              https://www.imdb.com/title/tt2582802/ |
|                                                                                              Prestiż |  2006 |                                  Christopher Nolan |                                             ('Christian Bale', 'Hugh Jackman', 'Scarlett Johansson') |   8.5 |              https://www.imdb.com/title/tt0482571/ |
|                                                                     Pewnego razu na Dzikim Zachodzie |  1968 |                                       Sergio Leone |                                              ('Henry Fonda', 'Charles Bronson', 'Claudia Cardinale') |   8.5 |              https://www.imdb.com/title/tt0064116/ |
|                                                                                 Grobowiec świetlików |  1988 |                                      Isao Takahata |                                            ('Tsutomu Tatsumi', 'Ayano Shiraishi', 'Akemi Yamaguchi') |   8.4 |              https://www.imdb.com/title/tt0095327/ |
|                                                                                           Casablanca |  1942 |                                     Michael Curtiz |                                                ('Humphrey Bogart', 'Ingrid Bergman', 'Paul Henreid') |   8.4 |              https://www.imdb.com/title/tt0034583/ |
|                                                                                                Joker |  2019 |                                      Todd Phillips |                                                 ('Joaquin Phoenix', 'Robert De Niro', 'Zazie Beetz') |   8.4 |              https://www.imdb.com/title/tt7286456/ |
|                                                                                      Cinema Paradiso |  1988 |                                 Giuseppe Tornatore |                                            ('Philippe Noiret', 'Enzo Cannavale', 'Antonella Attili') |   8.4 |              https://www.imdb.com/title/tt0095765/ |
|                                                                                     Okno na podwórze |  1954 |                                   Alfred Hitchcock |                                                    ('James Stewart', 'Grace Kelly', 'Wendell Corey') |   8.4 |              https://www.imdb.com/title/tt0047396/ |
|                                                                           Obcy - 8. pasażer Nostromo |  1979 |                                       Ridley Scott |                                                    ('Sigourney Weaver', 'Tom Skerritt', 'John Hurt') |   8.4 |              https://www.imdb.com/title/tt0078748/ |
|                                                                                      Czas Apokalipsy |  1979 |                               Francis Ford Coppola |                                                   ('Martin Sheen', 'Marlon Brando', 'Robert Duvall') |   8.4 |              https://www.imdb.com/title/tt0078788/ |
|                                                                         Poszukiwacze zaginionej arki |  1981 |                                   Steven Spielberg |                                                     ('Harrison Ford', 'Karen Allen', 'Paul Freeman') |   8.4 |              https://www.imdb.com/title/tt0082971/ |
|                                                                                              Memento |  2000 |                                  Christopher Nolan |                                                 ('Guy Pearce', 'Carrie-Anne Moss', 'Joe Pantoliano') |   8.4 |              https://www.imdb.com/title/tt0209144/ |
|                                                                                             Dyktator |  1940 |                                    Charles Chaplin |                                                ('Charles Chaplin', 'Paulette Goddard', 'Jack Oakie') |   8.4 |              https://www.imdb.com/title/tt0032553/ |
|                                                                                   Życie na podsłuchu |  2006 |                   Florian Henckel von Donnersmarck |                                                  ('Ulrich Mühe', 'Martina Gedeck', 'Sebastian Koch') |   8.4 |              https://www.imdb.com/title/tt0405094/ |
|                                                                                               Django |  2012 |                                  Quentin Tarantino |                                               ('Jamie Foxx', 'Christoph Waltz', 'Leonardo DiCaprio') |   8.4 |              https://www.imdb.com/title/tt1853728/ |
|                                                                                       Ścieżki chwały |  1957 |                                    Stanley Kubrick |                                                   ('Kirk Douglas', 'Ralph Meeker', 'Adolphe Menjou') |   8.4 |              https://www.imdb.com/title/tt0050825/ |
|                                                                                             Lśnienie |  1980 |                                    Stanley Kubrick |                                                  ('Jack Nicholson', 'Shelley Duvall', 'Danny Lloyd') |   8.4 |              https://www.imdb.com/title/tt0081505/ |
|                                                                           Avengers: Wojna bez granic |  2018 |                                      Anthony Russo |                                             ('Robert Downey Jr.', 'Chris Hemsworth', 'Mark Ruffalo') |   8.4 |              https://www.imdb.com/title/tt4154756/ |
|                                                                                               WALL·E |  2008 |                                     Andrew Stanton |                                                        ('Ben Burtt', 'Elissa Knight', 'Jeff Garlin') |   8.4 |              https://www.imdb.com/title/tt0910970/ |
|                                                                           Bulwar Zachodzącego Słońca |  1950 |                                       Billy Wilder |                                           ('William Holden', 'Gloria Swanson', 'Erich von Stroheim') |   8.4 |              https://www.imdb.com/title/tt0043014/ |
|                                                                                 Spider-Man Uniwersum |  2018 |                                    Bob Persichetti |                                                ('Shameik Moore', 'Jake Johnson', 'Hailee Steinfeld') |   8.4 |              https://www.imdb.com/title/tt4633694/ |
|                                                                                 Księżniczka Mononoke |  1997 |                                     Hayao Miyazaki |                                                     ('Yôji Matsuda', 'Yuriko Ishida', 'Yûko Tanaka') |   8.4 |              https://www.imdb.com/title/tt0119698/ |
|                                  Dr Strangelove, czyli jak przestałem się martwić i pokochałem bombę |  1964 |                                    Stanley Kubrick |                                              ('Peter Sellers', 'George C. Scott', 'Sterling Hayden') |   8.4 |              https://www.imdb.com/title/tt0057012/ |
|                                                                                               Oldboy |  2003 |                                     Chan-wook Park |                                                     ('Min-sik Choi', 'Ji-Tae Yoo', 'Hye-jeong Kang') |   8.4 |              https://www.imdb.com/title/tt0364569/ |
|                                                                                   Świadek oskarżenia |  1957 |                                       Billy Wilder |                                             ('Tyrone Power', 'Marlene Dietrich', 'Charles Laughton') |   8.4 |              https://www.imdb.com/title/tt0051201/ |
|                                                                                 Avengers: Koniec gry |  2019 |                                      Anthony Russo |                                                 ('Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo') |   8.3 |              https://www.imdb.com/title/tt4154796/ |
|                                                                              Mroczny Rycerz powstaje |  2012 |                                  Christopher Nolan |                                                     ('Christian Bale', 'Tom Hardy', 'Anne Hathaway') |   8.3 |              https://www.imdb.com/title/tt1345836/ |
|                                                                                 Dawno temu w Ameryce |  1984 |                                       Sergio Leone |                                              ('Robert De Niro', 'James Woods', 'Elizabeth McGovern') |   8.3 |              https://www.imdb.com/title/tt0087843/ |
|                                                                            Obcy - decydujące starcie |  1986 |                                      James Cameron |                                                 ('Sigourney Weaver', 'Michael Biehn', 'Carrie Henn') |   8.3 |              https://www.imdb.com/title/tt0090605/ |
|                                                                                           Twoje imię |  2016 |                                     Makoto Shinkai |                                             ('Ryûnosuke Kamiki', 'Mone Kamishiraishi', 'Ryô Narita') |   8.3 |              https://www.imdb.com/title/tt5311514/ |
|                                                                                                 Coco |  2017 |                                        Lee Unkrich |                                         ('Anthony Gonzalez', 'Gael García Bernal', 'Benjamin Bratt') |   8.3 |              https://www.imdb.com/title/tt2380307/ |
|                                                                                      American Beauty |  1999 |                                         Sam Mendes |                                                    ('Kevin Spacey', 'Annette Bening', 'Thora Birch') |   8.3 |              https://www.imdb.com/title/tt0169547/ |
|                                                                                                 1917 |  2019 |                                         Sam Mendes |                                             ('Dean-Charles Chapman', 'George MacKay', 'Daniel Mays') |   8.3 |              https://www.imdb.com/title/tt8579674/ |
|                                                                          Braveheart - Waleczne Serce |  1995 |                                         Mel Gibson |                                                 ('Mel Gibson', 'Sophie Marceau', 'Patrick McGoohan') |   8.3 |              https://www.imdb.com/title/tt0112573/ |
|                                                                                                Okręt |  1981 |                                  Wolfgang Petersen |                                         ('Jürgen Prochnow', 'Herbert Grönemeyer', 'Klaus Wennemann') |   8.3 |              https://www.imdb.com/title/tt0082096/ |
|                                                                                         Trzej idioci |  2009 |                                    Rajkumar Hirani |                                                             ('Aamir Khan', 'Madhavan', 'Mona Singh') |   8.3 |              https://www.imdb.com/title/tt1187043/ |
|                                                                                            Toy Story |  1995 |                                      John Lasseter |                                                            ('Tom Hanks', 'Tim Allen', 'Don Rickles') |   8.3 |              https://www.imdb.com/title/tt0114709/ |
|                                                                                       Niebo i piekło |  1963 |                                     Akira Kurosawa |                                                 ('Toshirô Mifune', 'Yutaka Sada', 'Tatsuya Nakadai') |   8.3 |              https://www.imdb.com/title/tt0057565/ |
|                                                                                     Gwiazdy na ziemi |  2007 |                                         Aamir Khan |                                                    ('Darsheel Safary', 'Aamir Khan', 'Tisca Chopra') |   8.3 |              https://www.imdb.com/title/tt0986264/ |
|                                                               Gwiezdne wojny: Część VI - Powrót Jedi |  1983 |                                   Richard Marquand |                                                    ('Mark Hamill', 'Harrison Ford', 'Carrie Fisher') |   8.3 |              https://www.imdb.com/title/tt0086190/ |
|                                                                                             Amadeusz |  1984 |                                       Milos Forman |                                             ('F. Murray Abraham', 'Tom Hulce', 'Elizabeth Berridge') |   8.3 |              https://www.imdb.com/title/tt0086879/ |
|                                                                                         Wściekłe psy |  1992 |                                  Quentin Tarantino |                                                      ('Harvey Keitel', 'Tim Roth', 'Michael Madsen') |   8.3 |              https://www.imdb.com/title/tt0105236/ |
|                                                                                        Bękarty wojny |  2009 |                                  Quentin Tarantino |                                                            ('Brad Pitt', 'Diane Kruger', 'Eli Roth') |   8.3 |              https://www.imdb.com/title/tt0361748/ |
|                                                                                   Buntownik z wyboru |  1997 |                                       Gus Van Sant |                                                      ('Robin Williams', 'Matt Damon', 'Ben Affleck') |   8.3 |              https://www.imdb.com/title/tt0119217/ |
|                                                                              2001: Odyseja kosmiczna |  1968 |                                    Stanley Kubrick |                                                ('Keir Dullea', 'Gary Lockwood', 'William Sylvester') |   8.3 |              https://www.imdb.com/title/tt0062622/ |
|                                                                                      Requiem dla snu |  2000 |                                   Darren Aronofsky |                                                 ('Ellen Burstyn', 'Jared Leto', 'Jennifer Connelly') |   8.3 |              https://www.imdb.com/title/tt0180093/ |
|                                                                                         Zawrót głowy |  1958 |                                   Alfred Hitchcock |                                                 ('James Stewart', 'Kim Novak', 'Barbara Bel Geddes') |   8.3 |              https://www.imdb.com/title/tt0052357/ |
|                                                                                         M - morderca |  1931 |                                         Fritz Lang |                                                     ('Peter Lorre', 'Ellen Widmann', 'Inge Landgut') |   8.3 |              https://www.imdb.com/title/tt0022100/ |
|                                                                                               Dangal |  2016 |                                      Nitesh Tiwari |                                                ('Aamir Khan', 'Sakshi Tanwar', 'Fatima Sana Shaikh') |   8.3 |              https://www.imdb.com/title/tt5074352/ |
|                                                                                Zakochany bez pamięci |  2004 |                                      Michel Gondry |                                                      ('Jim Carrey', 'Kate Winslet', 'Tom Wilkinson') |   8.3 |              https://www.imdb.com/title/tt0338013/ |
|                                                                                        Obywatel Kane |  1941 |                                       Orson Welles |                                               ('Orson Welles', 'Joseph Cotten', 'Dorothy Comingore') |   8.3 |              https://www.imdb.com/title/tt0033467/ |
|                                                                                            Polowanie |  2012 |                                  Thomas Vinterberg |                                          ('Mads Mikkelsen', 'Thomas Bo Larsen', 'Annika Wedderkopp') |   8.3 |              https://www.imdb.com/title/tt2106476/ |
|                                                                                      Pełny magazynek |  1987 |                                    Stanley Kubrick |                                              ('Matthew Modine', 'R. Lee Ermey', "Vincent D'Onofrio") |   8.3 |              https://www.imdb.com/title/tt0093058/ |
|                                                                                            Kafarnaum |  2018 |                                      Nadine Labaki |                               ('Zain Al Rafeea', 'Yordanos Shiferaw', 'Boluwatife Treasure Bankole') |   8.3 |              https://www.imdb.com/title/tt8267604/ |
|                                                                             Północ - północny zachód |  1959 |                                   Alfred Hitchcock |                                                     ('Cary Grant', 'Eva Marie Saint', 'James Mason') |   8.3 |              https://www.imdb.com/title/tt0053125/ |
|                                                                               Mechaniczna pomarańcza |  1971 |                                    Stanley Kubrick |                                               ('Malcolm McDowell', 'Patrick Magee', 'Michael Bates') |   8.2 |              https://www.imdb.com/title/tt0066921/ |
|                                                                                             Przekręt |  2000 |                                        Guy Ritchie |                                                   ('Jason Statham', 'Brad Pitt', 'Benicio Del Toro') |   8.2 |              https://www.imdb.com/title/tt0208092/ |
|                                                                                               Brzdąc |  1921 |                                    Charles Chaplin |                                               ('Charles Chaplin', 'Edna Purviance', 'Jackie Coogan') |   8.2 |              https://www.imdb.com/title/tt0012349/ |
|                                                                                    Złodzieje rowerów |  1948 |                                   Vittorio De Sica |                                           ('Lamberto Maggiorani', 'Enzo Staiola', 'Lianella Carell') |   8.2 |              https://www.imdb.com/title/tt0040522/ |
|                                                                                   Deszczowa piosenka |  1952 |                                      Stanley Donen |                                                 ('Gene Kelly', "Donald O'Connor", 'Debbie Reynolds') |   8.2 |              https://www.imdb.com/title/tt0045152/ |
|                                                                                    Człowiek z blizną |  1983 |                                     Brian De Palma |                                                   ('Al Pacino', 'Michelle Pfeiffer', 'Steven Bauer') |   8.2 |              https://www.imdb.com/title/tt0086250/ |
|                                                                                           Taksówkarz |  1976 |                                    Martin Scorsese |                                                ('Robert De Niro', 'Jodie Foster', 'Cybill Shepherd') |   8.2 |              https://www.imdb.com/title/tt0075314/ |
|                                                                                               Amelia |  2001 |                                 Jean-Pierre Jeunet |                                                      ('Audrey Tautou', 'Mathieu Kassovitz', 'Rufus') |   8.2 |              https://www.imdb.com/title/tt0211915/ |
|                                                                                    Lawrence z Arabii |  1962 |                                         David Lean |                                                  ("Peter O'Toole", 'Alec Guinness', 'Anthony Quinn') |   8.2 |              https://www.imdb.com/title/tt0056172/ |
